"user.id","user.B.id","proximity","calls","SMS"
1,1,1028,310,757
2,1,1788,0,0
3,1,0,0,0
4,1,502,0,0
5,1,16,0,0
6,1,1,0,0
7,1,61,0,0
8,1,5,0,0
9,1,1,0,0
10,1,0,0,0
11,1,827,0,0
12,1,13,0,0
13,1,0,0,0
14,1,1447,0,0
15,1,8,0,0
16,1,131,0,0
17,1,0,0,0
18,1,4,0,0
19,1,0,0,0
20,1,53,0,0
21,1,412,0,0
22,1,20,0,0
23,1,0,0,0
24,1,1805,0,0
25,1,30,0,0
26,1,0,0,0
27,1,140,0,0
28,1,14,0,0
29,1,10,0,0
30,1,120,0,0
31,1,3055,0,0
32,1,0,0,0
33,1,1,0,0
34,1,12,0,0
35,1,0,0,0
36,1,13,0,0
37,1,25,3,16
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,17,0,0
42,1,31,0,0
43,1,25,0,0
44,1,42,0,0
45,1,0,0,0
46,1,135,0,0
47,1,24,0,0
48,1,0,0,0
49,1,2,0,0
50,1,1,0,0
51,1,1,0,0
52,1,1064,0,0
53,1,0,0,0
54,1,3,0,0
55,1,6,0,0
56,1,22,0,0
57,1,1266,0,0
58,1,2573,0,0
59,1,29,0,0
60,1,13,0,0
61,1,3691,833,2693
62,1,2,0,0
63,1,3,0,0
64,1,73,0,0
65,1,3,0,0
66,1,5,0,0
67,1,0,0,0
68,1,3,0,0
69,1,8,0,0
70,1,72,0,0
71,1,979,0,0
72,1,12,0,0
73,1,0,0,0
74,1,1,0,0
75,1,36,0,0
76,1,2,0,0
77,1,0,0,0
78,1,0,0,0
79,1,2,0,0
80,1,2,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,1,0,0,0
1,2,8892,0,0
2,2,0,0,0
3,2,0,0,0
4,2,75,0,0
5,2,109,0,0
6,2,21,0,0
7,2,4,0,0
8,2,109,0,0
9,2,0,0,0
10,2,2,0,0
11,2,101,0,0
12,2,24,0,0
13,2,0,0,0
14,2,4619,0,0
15,2,19,0,0
16,2,86,0,0
17,2,0,0,0
18,2,233,0,0
19,2,1,0,0
20,2,228,0,0
21,2,315,0,0
22,2,95,0,0
23,2,638,0,0
24,2,370,0,0
25,2,996,37,0
26,2,0,0,0
27,2,355,0,0
28,2,65,0,0
29,2,19,1,0
30,2,442,0,0
31,2,779,0,0
32,2,37,0,0
33,2,0,0,0
34,2,494,0,0
35,2,8,0,0
36,2,136,0,0
37,2,54,0,0
38,2,13,0,0
39,2,0,0,0
40,2,8,0,0
41,2,14,0,0
42,2,45,0,0
43,2,24,0,0
44,2,159,0,0
45,2,2,0,0
46,2,3651,0,0
47,2,229,0,0
48,2,3,0,0
49,2,4,0,0
50,2,13,0,0
51,2,55,0,0
52,2,265,0,0
53,2,0,0,0
54,2,82,0,0
55,2,504,0,0
56,2,6,0,0
57,2,2133,4,10
58,2,254,0,0
59,2,198,0,0
60,2,1,0,0
61,2,1771,0,0
